raceId,lap,leaderGap,driverId,drivername
1064,32,0.0,830,Max Verstappen
1064,33,0.066,830,Max Verstappen
1064,34,0.443,830,Max Verstappen
1064,35,0.859,830,Max Verstappen
1064,36,0.0,830,Max Verstappen
1064,37,0.0,830,Max Verstappen
1064,38,0.0,830,Max Verstappen
1064,39,0.0,830,Max Verstappen
1064,40,1.665,830,Max Verstappen
1064,41,17.979,830,Max Verstappen
1064,42,0.096,830,Max Verstappen
1064,43,0.0,830,Max Verstappen
1064,44,0.816,830,Max Verstappen
1064,45,0.0,830,Max Verstappen
1064,46,0.0,830,Max Verstappen
1064,47,0.0,830,Max Verstappen
1064,48,0.087,830,Max Verstappen
1064,49,0.546,830,Max Verstappen
1064,50,0.0,830,Max Verstappen
1064,51,0.381,830,Max Verstappen
1064,52,0.488,830,Max Verstappen
1064,53,0.201,830,Max Verstappen
1064,54,0.813,830,Max Verstappen
1064,55,0.809,830,Max Verstappen
1064,56,0.0,830,Max Verstappen
1064,57,0.016,830,Max Verstappen
1064,58,0.191,830,Max Verstappen
1064,59,0.17,830,Max Verstappen
1064,60,0.0,830,Max Verstappen
1064,61,0.0,830,Max Verstappen
1064,62,0.0,830,Max Verstappen
1064,63,0.18,830,Max Verstappen
1064,64,0.211,830,Max Verstappen
1064,65,0.0,830,Max Verstappen
1064,66,0.0,830,Max Verstappen
1064,67,1.189,830,Max Verstappen
1064,68,0.32,830,Max Verstappen
1064,69,1.681,830,Max Verstappen
1064,70,0.0,830,Max Verstappen
1064,71,0.0,830,Max Verstappen
1064,72,3.659,830,Max Verstappen
1064,1,5.813,832,Carlos Sainz
1064,2,3.19,832,Carlos Sainz
1064,3,2.739,832,Carlos Sainz
1064,4,2.444,832,Carlos Sainz
1064,5,2.162,832,Carlos Sainz
1064,6,2.089,832,Carlos Sainz
1064,7,1.947,832,Carlos Sainz
1064,8,1.676,832,Carlos Sainz
1064,9,2.143,832,Carlos Sainz
1064,10,2.081,832,Carlos Sainz
1064,11,2.032,832,Carlos Sainz
1064,12,1.879,832,Carlos Sainz
1064,13,1.389,832,Carlos Sainz
1064,14,1.572,832,Carlos Sainz
1064,15,1.371,832,Carlos Sainz
1064,16,1.693,832,Carlos Sainz
1064,17,1.447,832,Carlos Sainz
1064,18,0.964,832,Carlos Sainz
1064,19,0.656,832,Carlos Sainz
1064,20,1.127,832,Carlos Sainz
1064,21,0.821,832,Carlos Sainz
1064,22,2.778,832,Carlos Sainz
1064,23,2.196,832,Carlos Sainz
1064,24,2.323,832,Carlos Sainz
1064,25,2.267,832,Carlos Sainz
1064,26,1.712,832,Carlos Sainz
1064,27,2.345,832,Carlos Sainz
1064,28,2.459,832,Carlos Sainz
1064,29,1.831,832,Carlos Sainz
1064,30,2.625,832,Carlos Sainz
1064,31,5.811,832,Carlos Sainz
1064,32,20.936,832,Carlos Sainz
1064,33,1.535,832,Carlos Sainz
1064,34,1.915,832,Carlos Sainz
1064,35,1.628,832,Carlos Sainz
1064,36,0.987,832,Carlos Sainz
1064,37,1.852,832,Carlos Sainz
1064,38,1.27,832,Carlos Sainz
1064,39,1.786,832,Carlos Sainz
1064,40,0.34,832,Carlos Sainz
1064,41,2.293,832,Carlos Sainz
1064,42,2.297,832,Carlos Sainz
1064,43,1.948,832,Carlos Sainz
1064,44,1.955,832,Carlos Sainz
1064,45,1.428,832,Carlos Sainz
1064,46,1.79,832,Carlos Sainz
1064,47,2.101,832,Carlos Sainz
1064,48,2.082,832,Carlos Sainz
1064,49,2.511,832,Carlos Sainz
1064,50,2.21,832,Carlos Sainz
1064,51,4.592,832,Carlos Sainz
1064,52,4.072,832,Carlos Sainz
1064,53,2.517,832,Carlos Sainz
1064,54,2.337,832,Carlos Sainz
1064,55,1.773,832,Carlos Sainz
1064,56,2.131,832,Carlos Sainz
1064,57,1.931,832,Carlos Sainz
1064,58,2.077,832,Carlos Sainz
1064,59,2.103,832,Carlos Sainz
1064,60,2.38,832,Carlos Sainz
1064,61,2.637,832,Carlos Sainz
1064,62,5.468,832,Carlos Sainz
1064,63,2.142,832,Carlos Sainz
1064,64,2.038,832,Carlos Sainz
1064,65,2.07,832,Carlos Sainz
1064,66,2.906,832,Carlos Sainz
1064,67,2.645,832,Carlos Sainz
1064,68,2.016,832,Carlos Sainz
1064,69,3.444,832,Carlos Sainz
1064,70,2.917,832,Carlos Sainz
1064,71,3.529,832,Carlos Sainz
1064,72,,832,Carlos Sainz
1064,1,7.175,839,Esteban Ocon
1064,2,3.309,839,Esteban Ocon
1064,3,2.813,839,Esteban Ocon
1064,4,2.798,839,Esteban Ocon
1064,5,3.327,839,Esteban Ocon
1064,6,3.061,839,Esteban Ocon
1064,7,2.858,839,Esteban Ocon
1064,8,2.65,839,Esteban Ocon
1064,9,3.241,839,Esteban Ocon
1064,10,3.655,839,Esteban Ocon
1064,11,3.325,839,Esteban Ocon
1064,12,2.767,839,Esteban Ocon
1064,13,2.365,839,Esteban Ocon
1064,14,2.43,839,Esteban Ocon
1064,15,2.157,839,Esteban Ocon
1064,16,1.795,839,Esteban Ocon
1064,17,1.325,839,Esteban Ocon
1064,18,1.434,839,Esteban Ocon
1064,19,1.168,839,Esteban Ocon
1064,20,1.623,839,Esteban Ocon
1064,21,1.227,839,Esteban Ocon
1064,22,3.155,839,Esteban Ocon
1064,23,2.593,839,Esteban Ocon
1064,24,2.443,839,Esteban Ocon
1064,25,2.288,839,Esteban Ocon
1064,26,1.648,839,Esteban Ocon
1064,27,2.487,839,Esteban Ocon
1064,28,2.107,839,Esteban Ocon
1064,29,1.395,839,Esteban Ocon
1064,30,2.142,839,Esteban Ocon
1064,31,4.786,839,Esteban Ocon
1064,32,17.703,839,Esteban Ocon
1064,33,0.484,839,Esteban Ocon
1064,34,3.97,839,Esteban Ocon
1064,35,2.415,839,Esteban Ocon
